ID,Status,DC ID,Host ID,Host PEs CPU Cores,VM ID,VM PEs CPU Cores,CloudletLen MI,FinishedLen MI,CloudletPEs CPU Cores,ArrivalTime Seconds,SubmssionTime Seconds,StartWaitTime Seconds,StartTime Seconds,FinishTime Seconds,ExecTime Seconds,TotalWaitTime Seconds,CompletionTime Seconds,Cost $
82,SUCCESS,2,2,16,2,2,250000,250000,2,0,2,0,2,7,6,2,8,68.33
0,SUCCESS,2,29,16,29,4,250000,250000,2,0,1,0,1,6,6,1,7,60.83
86,SUCCESS,2,8,16,8,2,150000,150000,2,1,15,0,15,18,4,14,18,92.00
84,SUCCESS,2,14,16,14,2,50000,50000,1,1,7,0,7,8,2,6,8,20.33
85,SUCCESS,2,28,16,28,4,200000,200000,4,1,9,0,9,13,5,8,13,160.32
83,SUCCESS,2,30,16,30,8,100000,100000,8,1,6,0,6,8,3,5,8,100.32
2,SUCCESS,2,0,16,32,8,50000,50000,1,1,3,0,3,4,1,2,3,17.25
1,SUCCESS,2,1,16,33,8,100000,100000,8,1,5,3,8,10,3,8,10,135.00
3,SUCCESS,2,1,16,33,8,200000,200000,4,1,4,0,4,8,5,3,8,100.32
4,SUCCESS,2,2,16,34,8,150000,150000,2,1,10,0,10,13,4,9,13,69.50
89,SUCCESS,2,8,16,8,2,150000,150000,1,2,20,0,20,23,4,18,22,62.48
8,SUCCESS,2,10,16,10,2,200000,200000,2,2,13,0,13,17,5,11,16,105.66
90,SUCCESS,2,10,16,10,2,200000,200000,2,2,26,0,26,30,5,24,29,183.66
6,SUCCESS,2,30,16,30,8,50000,50000,4,2,17,5,22,23,2,20,21,78.33
7,SUCCESS,2,30,16,30,8,150000,150000,1,2,8,0,8,11,4,7,10,37.75
9,SUCCESS,2,30,16,30,8,250000,250000,8,2,12,5,17,22,6,15,20,618.31
87,SUCCESS,2,30,16,30,8,250000,250000,8,2,11,0,11,17,6,10,15,468.30
5,SUCCESS,2,0,16,32,8,250000,250000,8,2,14,0,14,19,6,12,18,528.30
88,SUCCESS,2,1,16,33,8,50000,50000,4,2,18,3,21,22,2,20,21,78.00
91,SUCCESS,2,1,16,33,8,250000,250000,8,2,16,0,16,21,6,14,20,588.30
12,SUCCESS,2,4,16,4,2,250000,250000,1,3,21,0,21,26,6,18,24,101.66
95,SUCCESS,2,4,16,4,2,200000,200000,2,3,22,4,26,30,5,24,28,183.66
13,SUCCESS,2,6,16,6,2,200000,200000,2,3,33,0,33,37,5,30,35,219.66
97,SUCCESS,2,8,16,8,2,100000,100000,1,3,27,0,27,29,3,24,27,54.17
94,SUCCESS,2,9,16,9,2,250000,250000,1,3,32,0,32,37,6,29,35,142.91
10,SUCCESS,2,24,16,24,4,100000,100000,4,3,29,0,29,31,3,26,29,183.66
15,SUCCESS,2,25,16,25,4,100000,100000,1,3,19,0,19,21,3,16,19,42.17
96,SUCCESS,2,28,16,28,4,50000,50000,4,3,31,0,31,32,2,28,30,102.33
14,SUCCESS,2,29,16,29,4,50000,50000,4,3,30,0,30,31,2,27,29,99.33
92,SUCCESS,2,29,16,29,4,100000,100000,4,3,35,0,35,37,3,32,35,219.66
16,SUCCESS,2,31,16,31,8,200000,200000,8,3,24,2,26,30,5,24,28,689.64
93,SUCCESS,2,31,16,31,8,150000,150000,8,3,23,0,23,26,4,20,24,430.98
98,SUCCESS,2,0,16,32,8,200000,200000,8,3,28,0,28,32,5,25,30,713.64
11,SUCCESS,2,1,16,33,8,150000,150000,8,3,25,0,25,28,4,22,26,466.98
99,SUCCESS,2,0,16,0,2,150000,150000,2,4,45,0,45,48,4,41,45,213.50
102,SUCCESS,2,0,16,0,2,100000,100000,1,4,41,0,41,43,3,37,40,73.66
17,SUCCESS,2,15,16,15,2,150000,150000,2,4,38,0,38,41,4,34,38,182.00
19,SUCCESS,2,22,16,22,4,50000,50000,4,4,40,0,40,41,2,36,38,126.33
101,SUCCESS,2,24,16,24,4,50000,50000,4,4,34,0,34,35,1,30,31,108.00
20,SUCCESS,2,29,16,29,4,100000,100000,1,4,44,0,44,46,3,40,43,78.16
21,SUCCESS,2,31,16,31,8,200000,200000,8,4,42,0,42,46,5,38,43,1025.64
18,SUCCESS,2,1,16,33,8,250000,250000,8,4,36,0,36,41,6,32,38,1128.30
100,SUCCESS,2,2,16,34,8,250000,250000,8,4,39,2,41,46,6,38,43,1308.30
103,SUCCESS,2,2,16,34,8,200000,200000,8,4,37,0,37,41,5,33,38,905.64
107,SUCCESS,2,0,16,0,2,200000,200000,2,5,52,0,52,56,5,47,52,321.66
111,SUCCESS,2,0,16,0,2,200000,200000,2,5,56,0,56,60,5,52,56,351.66
22,SUCCESS,2,7,16,7,2,150000,150000,2,5,60,0,60,63,4,55,59,276.50
25,SUCCESS,2,9,16,9,2,200000,200000,2,5,57,3,60,64,5,56,60,375.66
109,SUCCESS,2,9,16,9,2,250000,250000,1,5,55,0,55,60,6,50,56,221.66
30,SUCCESS,2,14,16,14,2,100000,100000,1,5,47,2,49,51,3,45,47,85.66
104,SUCCESS,2,14,16,14,2,150000,150000,2,5,46,0,46,49,4,41,45,213.50
29,SUCCESS,2,15,16,15,2,200000,200000,2,5,51,0,51,55,5,46,51,315.66
112,SUCCESS,2,16,16,16,2,100000,100000,1,5,61,0,61,63,3,56,59,102.16
27,SUCCESS,2,21,16,21,4,250000,250000,1,5,59,0,59,64,6,54,60,236.66
26,SUCCESS,2,25,16,25,4,150000,150000,4,5,49,0,49,52,4,44,48,438.99
108,SUCCESS,2,26,16,26,4,150000,150000,4,5,43,0,43,46,4,38,42,384.99
105,SUCCESS,2,29,16,29,4,250000,250000,4,5,53,0,53,58,6,48,54,811.65
28,SUCCESS,2,30,16,30,8,50000,50000,8,5,54,0,54,55,2,49,51,315.66
106,SUCCESS,2,30,16,30,8,50000,50000,8,5,50,0,50,51,1,45,46,291.00
23,SUCCESS,2,0,16,32,8,250000,250000,4,5,48,0,48,53,6,43,49,736.65
110,SUCCESS,2,1,16,33,8,50000,50000,8,5,58,0,58,59,2,53,55,339.66
24,SUCCESS,2,2,16,34,8,50000,50000,8,5,62,0,62,63,2,57,59,363.66
113,SUCCESS,2,26,16,26,4,150000,150000,4,6,65,0,65,68,4,59,63,573.99
31,SUCCESS,2,29,16,29,4,150000,150000,4,6,63,0,63,66,4,57,61,555.99
114,SUCCESS,2,30,16,30,8,250000,250000,8,7,66,0,66,71,6,59,65,1938.30
32,SUCCESS,2,0,16,32,8,250000,250000,8,7,64,0,64,69,6,57,63,1878.30
33,SUCCESS,2,2,16,2,2,50000,50000,1,10,67,0,67,68,2,57,59,58.58
115,SUCCESS,2,20,16,20,4,50000,50000,1,10,68,0,68,69,2,58,60,59.33
116,SUCCESS,2,0,16,0,2,200000,200000,2,13,73,0,73,77,5,60,65,399.66
118,SUCCESS,2,26,16,26,4,100000,100000,4,13,70,0,70,72,3,57,60,369.66
34,SUCCESS,2,27,16,27,4,200000,200000,2,13,72,0,72,76,5,59,64,393.66
36,SUCCESS,2,30,16,30,8,100000,100000,4,13,71,0,71,73,3,59,61,381.66
117,SUCCESS,2,31,16,31,8,150000,150000,8,13,69,0,69,72,4,56,60,1078.98
35,SUCCESS,2,1,16,33,8,150000,150000,8,13,75,4,79,82,4,67,70,1276.98
38,SUCCESS,2,0,16,0,2,50000,50000,2,14,76,1,77,78,2,64,65,112.66
120,SUCCESS,2,0,16,0,2,50000,50000,2,14,80,0,80,81,2,66,68,115.66
39,SUCCESS,2,20,16,20,4,200000,200000,4,14,77,0,77,81,5,63,68,820.32
121,SUCCESS,2,28,16,28,4,200000,200000,4,14,79,0,79,83,5,65,70,844.32
37,SUCCESS,2,1,16,33,8,250000,250000,8,14,74,0,74,79,6,60,66,1968.30
119,SUCCESS,2,1,16,33,8,250000,250000,8,14,78,4,82,88,6,69,74,2238.31
40,SUCCESS,2,12,16,12,2,100000,100000,1,15,83,0,83,85,3,68,71,120.16
