ID,Type,Status,PEs CPU Cores,CPU Util %,Cost $
0,S,IDLE,2,6.2,394.84
1,S,IDLE,2,1.2,394.84
2,S,IDLE,2,2.4,394.84
3,S,IDLE,2,0.0,394.84
4,S,IDLE,2,2.8,394.84
5,S,IDLE,2,0.0,394.84
6,S,IDLE,2,0.9,394.84
7,S,IDLE,2,0.6,394.84
8,S,IDLE,2,1.9,394.84
9,S,IDLE,2,2.6,394.84
10,S,IDLE,2,1.8,394.84
11,S,IDLE,2,0.0,394.84
12,S,IDLE,2,0.3,394.84
13,S,IDLE,2,1.8,394.84
14,S,IDLE,2,1.7,394.84
15,S,IDLE,2,1.8,394.84
16,S,IDLE,2,1.2,394.84
17,S,IDLE,2,0.0,394.84
18,S,IDLE,2,0.0,394.84
19,S,IDLE,2,0.0,394.84
20,M,IDLE,4,1.3,780.68
21,M,IDLE,4,1.2,780.68
22,M,IDLE,4,0.6,780.68
23,M,IDLE,4,0.0,780.68
24,M,IDLE,4,0.6,780.68
25,M,IDLE,4,3.1,780.68
26,M,IDLE,4,2.7,780.68
27,M,IDLE,4,1.0,780.68
28,M,IDLE,4,3.0,780.68
29,M,IDLE,4,4.8,780.68
30,L,IDLE,8,19.7,1552.36
31,L,IDLE,8,4.0,1552.36
32,L,IDLE,8,9.1,1552.36
33,L,IDLE,8,28.5,1552.36
34,L,IDLE,8,7.9,1552.36
