ID,Status,DC ID,Host ID,Host PEs CPU Cores,VM ID,VM PEs CPU Cores,CloudletLen MI,FinishedLen MI,CloudletPEs CPU Cores,ArrivalTime Seconds,SubmssionTime Seconds,StartWaitTime Seconds,StartTime Seconds,FinishTime Seconds,ExecTime Seconds,TotalWaitTime Seconds,CompletionTime Seconds,Cost $
0,SUCCESS,1,0,16,0,2,250000,250000,2,0,0,0,0,5,6,1,6,60.83
82,SUCCESS,1,12,40,12,2,250000,250000,2,0,0,0,0,5,6,1,6,60.83
2,SUCCESS,1,2,20,2,2,50000,50000,1,1,1,0,1,2,1,1,2,16.50
4,SUCCESS,1,4,24,4,2,150000,150000,2,1,1,0,1,4,4,1,4,33.50
84,SUCCESS,1,14,44,14,2,50000,50000,1,1,1,0,1,2,1,1,2,16.50
86,SUCCESS,1,16,48,16,2,150000,150000,2,1,1,0,1,4,4,1,4,33.50
7,SUCCESS,1,7,30,7,2,150000,150000,1,2,2,0,2,5,4,1,4,24.25
8,SUCCESS,1,8,32,8,2,200000,200000,2,2,2,0,2,6,5,1,5,45.66
89,SUCCESS,1,19,54,19,2,150000,150000,1,2,2,0,2,5,4,1,4,24.25
90,SUCCESS,1,20,56,20,4,200000,200000,2,2,2,0,2,6,5,1,5,45.66
12,SUCCESS,1,12,40,12,2,250000,250000,1,3,3,2,5,10,6,3,8,45.41
13,SUCCESS,1,13,42,13,2,200000,200000,2,3,3,0,3,7,5,1,5,45.66
15,SUCCESS,1,15,46,15,2,100000,100000,1,3,3,0,3,5,3,1,3,19.67
92,SUCCESS,1,22,60,22,4,100000,100000,4,3,3,0,3,5,3,1,3,33.66
94,SUCCESS,1,24,64,24,4,250000,250000,1,3,3,0,3,8,6,1,6,37.91
95,SUCCESS,1,25,66,25,4,200000,200000,2,3,3,0,3,7,5,1,5,45.66
96,SUCCESS,1,26,68,26,4,50000,50000,4,3,3,0,3,4,2,1,2,21.33
97,SUCCESS,1,27,70,27,4,100000,100000,1,3,3,0,3,5,3,1,3,19.67
17,SUCCESS,1,17,50,17,2,150000,150000,2,4,4,0,4,7,4,1,4,33.50
99,SUCCESS,1,29,74,29,4,150000,150000,2,4,4,0,4,7,4,1,4,33.50
100,SUCCESS,1,30,76,30,8,250000,250000,8,4,4,0,4,9,6,1,6,198.30
101,SUCCESS,1,31,78,31,8,50000,50000,4,4,4,0,4,5,2,1,2,21.33
102,SUCCESS,1,0,16,32,8,100000,100000,1,4,4,0,4,6,3,1,3,19.50
103,SUCCESS,1,1,18,33,8,200000,200000,8,4,4,0,4,8,5,1,5,137.64
107,SUCCESS,1,2,20,2,2,200000,200000,2,5,5,0,5,9,5,1,5,45.66
109,SUCCESS,1,4,24,4,2,250000,250000,1,5,5,0,5,10,6,1,6,37.91
111,SUCCESS,1,6,28,6,2,200000,200000,2,5,5,0,5,9,5,1,5,45.66
22,SUCCESS,1,22,60,22,4,150000,150000,2,5,5,0,5,8,4,1,4,33.49
