ID,Type,Status,PEs CPU Cores,CPU Util %,Cost $
0,S,FINISHED,2,12.5,933.82
1,S,FINISHED,2,0.0,933.82
2,S,FINISHED,2,16.7,933.82
3,S,FINISHED,2,3.1,933.82
4,S,FINISHED,2,22.6,933.82
5,S,FINISHED,2,6.5,933.82
6,S,FINISHED,2,29.0,933.82
7,S,FINISHED,2,51.5,933.82
8,S,FINISHED,2,15.6,933.82
9,S,FINISHED,2,16.1,933.82
10,S,FINISHED,2,3.0,933.82
11,S,FINISHED,2,35.5,933.82
12,S,FINISHED,2,21.3,933.82
13,S,FINISHED,2,15.6,933.82
14,S,FINISHED,2,0.0,933.82
15,S,FINISHED,2,21.7,933.82
16,S,FINISHED,2,22.6,933.82
17,S,FINISHED,2,48.4,933.82
18,S,FINISHED,2,18.8,933.82
19,S,FINISHED,2,6.3,933.82
20,M,FINISHED,4,31.1,1858.64
21,M,FINISHED,4,25.0,1858.64
22,M,FINISHED,4,13.2,1858.64
23,M,FINISHED,4,28.1,1858.64
24,M,FINISHED,4,24.2,1858.64
25,M,FINISHED,4,57.4,1858.64
26,M,FINISHED,4,14.3,1858.64
27,M,FINISHED,4,30.1,1858.64
28,M,FINISHED,4,0.8,1858.64
29,M,FINISHED,4,51.5,1858.64
30,L,FINISHED,8,11.0,3708.28
31,L,FINISHED,8,10.2,3708.28
32,L,FINISHED,8,10.3,3708.28
33,L,FINISHED,8,12.0,3708.28
34,L,FINISHED,8,3.1,3708.28
35,S,FINISHED,2,0.0,926.17
36,S,FINISHED,2,0.0,926.17
37,L,FINISHED,8,0.0,3677.68
38,S,FINISHED,2,0.0,926.17
39,S,FINISHED,2,0.0,926.17
40,S,FINISHED,2,0.0,926.17
41,S,FINISHED,2,0.0,926.17
42,S,FINISHED,2,0.0,926.17
43,S,FINISHED,2,0.0,926.17
44,S,FINISHED,2,0.0,926.17
45,S,FINISHED,2,0.0,926.17
46,S,FINISHED,2,0.0,926.17
47,S,FINISHED,2,0.0,926.17
48,S,FINISHED,2,0.0,926.17
49,S,FINISHED,2,0.0,926.17
50,S,FINISHED,2,0.0,926.17
51,S,FINISHED,2,0.0,926.17
52,S,FINISHED,2,0.0,926.17
53,S,FINISHED,2,0.0,926.17
54,S,FINISHED,2,0.0,926.17
55,M,FINISHED,4,0.0,1843.34
56,M,FINISHED,4,0.0,1843.34
57,M,FINISHED,4,0.0,1843.34
58,M,FINISHED,4,0.0,1843.34
59,M,FINISHED,4,0.0,1843.34
60,M,FINISHED,4,0.0,1843.34
61,M,FINISHED,4,0.0,1843.34
62,M,FINISHED,4,0.0,1843.34
63,M,FINISHED,4,0.0,1843.34
64,L,FINISHED,8,0.0,3677.68
65,L,FINISHED,8,0.0,3647.68
66,S,FINISHED,2,0.0,911.17
67,M,FINISHED,4,0.0,1798.34
