ID,Status,DC ID,Host ID,Host PEs CPU Cores,VM ID,VM PEs CPU Cores,CloudletLen MI,FinishedLen MI,CloudletPEs CPU Cores,ArrivalTime Seconds,SubmssionTime Seconds,StartWaitTime Seconds,StartTime Seconds,FinishTime Seconds,ExecTime Seconds,TotalWaitTime Seconds,CompletionTime Seconds,Cost $
0,SUCCESS,2,0,16,0,2,250000,250000,2,0,1,0,1,6,6,1,7,60.83
82,SUCCESS,2,16,16,16,2,250000,250000,2,0,1,0,1,6,6,1,7,60.83
2,SUCCESS,2,13,16,13,2,50000,50000,1,1,1,0,1,2,1,0,1,15.75
86,SUCCESS,2,16,16,16,2,150000,150000,2,1,4,2,6,9,4,6,9,55.99
84,SUCCESS,2,20,16,20,4,50000,50000,1,1,2,0,2,3,2,1,3,16.58
3,SUCCESS,2,22,16,22,4,200000,200000,4,1,1,0,1,5,5,0,5,64.32
4,SUCCESS,2,31,16,31,8,150000,150000,2,1,2,0,2,5,4,1,5,33.50
83,SUCCESS,2,0,16,32,8,100000,100000,8,1,2,0,2,4,3,1,4,52.32
1,SUCCESS,2,1,16,33,8,100000,100000,8,1,2,0,2,4,3,1,4,52.32
85,SUCCESS,2,1,16,33,8,200000,200000,4,1,2,2,4,8,5,4,8,112.32
7,SUCCESS,2,5,16,5,2,150000,150000,1,2,2,0,2,5,4,0,4,22.00
89,SUCCESS,2,6,16,6,2,150000,150000,1,2,8,0,8,11,4,6,10,35.50
8,SUCCESS,2,23,16,23,4,200000,200000,2,2,4,0,4,8,5,2,7,51.66
5,SUCCESS,2,30,16,30,8,250000,250000,8,2,4,0,4,9,6,2,8,228.30
6,SUCCESS,2,31,16,31,8,50000,50000,4,2,25,0,25,26,2,23,25,87.33
90,SUCCESS,2,31,16,31,8,200000,200000,2,2,11,0,11,15,5,9,14,93.66
91,SUCCESS,2,31,16,31,8,250000,250000,8,2,217,0,217,222,6,215,221,6618.30
88,SUCCESS,2,0,16,32,8,50000,50000,4,2,28,0,28,29,2,26,28,96.33
87,SUCCESS,2,2,16,34,8,250000,250000,8,2,53,0,53,58,6,51,57,1698.30
12,SUCCESS,2,2,16,2,2,250000,250000,1,3,8,0,8,13,6,5,11,52.91
13,SUCCESS,2,10,16,10,2,200000,200000,2,3,14,0,14,18,5,11,16,105.66
97,SUCCESS,2,15,16,15,2,100000,100000,1,3,11,0,11,13,3,8,11,30.17
94,SUCCESS,2,17,16,17,2,250000,250000,1,3,13,0,13,18,6,10,16,71.66
14,SUCCESS,2,21,16,21,4,50000,50000,4,3,13,0,13,14,2,10,12,48.33
92,SUCCESS,2,21,16,21,4,100000,100000,4,3,15,0,15,17,3,12,15,99.66
10,SUCCESS,2,30,16,30,8,100000,100000,4,3,130,0,130,132,3,127,130,789.66
93,SUCCESS,2,31,16,31,8,150000,150000,8,3,288,3,291,294,4,289,292,5271.00
95,SUCCESS,2,2,16,34,8,200000,200000,2,3,8,0,8,12,5,5,10,69.66
96,SUCCESS,2,2,16,34,8,50000,50000,4,3,13,0,13,14,2,10,12,48.33
98,SUCCESS,2,2,16,34,8,200000,200000,8,3,32,0,32,36,5,29,34,809.64
20,SUCCESS,2,12,16,12,2,100000,100000,1,4,20,0,20,22,3,16,19,42.17
99,SUCCESS,2,12,16,12,2,150000,150000,2,4,20,2,22,25,4,19,22,114.50
102,SUCCESS,2,17,16,17,2,100000,100000,1,4,19,0,19,21,3,15,18,40.67
17,SUCCESS,2,24,16,24,4,150000,150000,2,4,17,0,17,20,4,13,17,87.50
21,SUCCESS,2,30,16,30,8,200000,200000,8,4,105,0,105,109,4,101,105,2535.00
