ID,Type,Status,PEs CPU Cores,CPU Util %,Cost $
0,S,IDLE,2,1.4,922.84
1,S,IDLE,2,2.1,922.84
2,S,IDLE,2,5.0,922.84
3,S,IDLE,2,0.6,922.84
4,S,IDLE,2,1.2,922.84
5,S,IDLE,2,0.4,922.84
6,S,IDLE,2,0.4,922.84
7,S,IDLE,2,0.3,922.84
8,S,IDLE,2,0.0,922.84
9,S,IDLE,2,1.5,922.84
10,S,IDLE,2,2.9,922.84
11,S,IDLE,2,0.9,922.84
12,S,IDLE,2,2.4,922.84
13,S,IDLE,2,0.8,922.84
14,S,IDLE,2,0.3,922.84
15,S,IDLE,2,0.3,922.84
16,S,IDLE,2,3.9,922.84
17,S,IDLE,2,2.4,922.84
18,S,IDLE,2,0.9,922.84
19,S,IDLE,2,0.3,922.84
20,M,IDLE,4,0.1,1836.68
21,M,IDLE,4,3.2,1836.68
22,M,IDLE,4,3.4,1836.68
23,M,IDLE,4,0.6,1836.68
24,M,IDLE,4,2.5,1836.68
25,M,IDLE,4,2.0,1836.68
26,M,IDLE,4,2.7,1836.68
27,M,IDLE,4,4.2,1836.68
28,M,IDLE,4,16.0,1836.68
29,M,IDLE,4,0.3,1836.68
30,L,IDLE,8,3.6,3664.36
31,L,IDLE,8,7.1,3664.36
32,L,IDLE,8,14.2,3664.36
33,L,IDLE,8,21.9,3664.36
34,L,IDLE,8,8.8,3664.36
