ID,Status,DC ID,Host ID,Host PEs CPU Cores,VM ID,VM PEs CPU Cores,CloudletLen MI,FinishedLen MI,CloudletPEs CPU Cores,ArrivalTime Seconds,SubmssionTime Seconds,StartWaitTime Seconds,StartTime Seconds,FinishTime Seconds,ExecTime Seconds,TotalWaitTime Seconds,CompletionTime Seconds,Cost $
82,SUCCESS,2,13,16,13,2,250000,250000,2,0,1,0,1,6,6,1,7,60.83
0,SUCCESS,2,16,16,16,2,250000,250000,2,0,1,0,1,6,6,1,7,60.83
84,SUCCESS,2,5,16,5,2,50000,50000,1,1,3,0,3,4,2,2,4,17.33
86,SUCCESS,2,16,16,16,2,150000,150000,2,1,6,0,6,9,4,6,9,55.99
2,SUCCESS,2,22,16,22,4,50000,50000,1,1,1,0,1,2,1,0,1,15.75
4,SUCCESS,2,27,16,27,4,150000,150000,2,1,3,0,3,6,4,2,6,38.00
85,SUCCESS,2,31,16,31,8,200000,200000,4,1,3,0,3,7,5,2,7,88.32
3,SUCCESS,2,0,16,32,8,200000,200000,4,1,2,0,2,6,5,1,6,76.32
1,SUCCESS,2,1,16,33,8,100000,100000,8,1,2,0,2,4,3,1,4,52.32
89,SUCCESS,2,2,16,2,2,150000,150000,1,2,9,0,9,12,4,7,11,37.75
90,SUCCESS,2,15,16,15,2,200000,200000,2,2,11,0,11,15,5,9,14,93.66
8,SUCCESS,2,30,16,30,8,200000,200000,2,2,5,0,5,9,5,3,8,57.66
87,SUCCESS,2,31,16,31,8,250000,250000,8,2,200,0,200,205,5,198,203,6105.00
91,SUCCESS,2,31,16,31,8,250000,250000,8,2,278,0,278,283,5,276,281,8445.00
7,SUCCESS,2,1,16,33,8,150000,150000,1,2,3,1,4,7,4,3,6,28.75
9,SUCCESS,2,1,16,33,8,250000,250000,8,2,17,0,17,22,6,15,21,618.30
88,SUCCESS,2,1,16,33,8,50000,50000,4,2,9,0,9,10,2,7,9,39.33
6,SUCCESS,2,2,16,34,8,50000,50000,4,2,147,0,147,148,1,145,146,453.00
95,SUCCESS,2,0,16,0,2,200000,200000,2,3,9,0,9,13,5,6,11,75.66
97,SUCCESS,2,1,16,1,2,100000,100000,1,3,11,0,11,13,3,8,11,30.17
15,SUCCESS,2,6,16,6,2,100000,100000,1,3,9,0,9,11,3,6,9,27.17
94,SUCCESS,2,8,16,8,2,250000,250000,1,3,13,0,13,18,6,10,16,71.66
13,SUCCESS,2,13,16,13,2,200000,200000,2,3,14,0,14,18,5,11,16,105.66
10,SUCCESS,2,21,16,21,4,100000,100000,4,3,12,0,12,14,3,9,12,81.66
96,SUCCESS,2,21,16,21,4,50000,50000,4,3,85,0,85,86,2,82,84,264.33
92,SUCCESS,2,22,16,22,4,100000,100000,4,3,14,0,14,16,3,11,14,93.66
11,SUCCESS,2,31,16,31,8,150000,150000,8,3,11,0,11,14,4,8,12,214.98
12,SUCCESS,2,2,16,34,8,250000,250000,1,3,9,0,9,14,6,6,12,56.66
17,SUCCESS,2,12,16,12,2,150000,150000,2,4,16,0,16,19,4,12,16,83.00
20,SUCCESS,2,12,16,12,2,100000,100000,1,4,20,0,20,22,3,16,19,42.17
99,SUCCESS,2,18,16,18,2,150000,150000,2,4,20,0,20,23,4,16,20,101.00
101,SUCCESS,2,21,16,21,4,50000,50000,4,4,14,0,14,15,2,11,12,51.33
102,SUCCESS,2,23,16,23,4,100000,100000,1,4,18,0,18,20,3,14,17,39.17
19,SUCCESS,2,26,16,26,4,50000,50000,4,4,53,0,53,54,2,49,51,165.33
21,SUCCESS,2,31,16,31,8,200000,200000,8,4,346,0,346,350,4,342,346,8319.00
29,SUCCESS,2,2,16,2,2,200000,200000,2,5,21,0,21,25,5,16,21,135.66
109,SUCCESS,2,2,16,2,2,250000,250000,1,5,23,2,25,30,6,21,26,112.91
111,SUCCESS,2,4,16,4,2,200000,200000,2,5,23,0,23,27,5,18,23,147.66
30,SUCCESS,2,7,16,7,2,100000,100000,1,5,20,0,20,22,3,15,18,40.67
22,SUCCESS,2,9,16,9,2,150000,150000,2,5,25,0,25,28,4,20,24,119.00
27,SUCCESS,2,11,16,11,2,250000,250000,1,5,25,0,25,30,6,20,26,109.16
26,SUCCESS,2,21,16,21,4,150000,150000,4,5,20,0,20,23,4,15,19,177.99
23,SUCCESS,2,22,16,22,4,250000,250000,4,5,20,0,20,25,6,15,21,316.65
112,SUCCESS,2,25,16,25,4,100000,100000,1,5,25,0,25,27,3,20,23,48.17
104,SUCCESS,2,27,16,27,4,150000,150000,2,5,20,0,20,23,4,15,19,96.50
24,SUCCESS,2,31,16,31,8,50000,50000,8,5,25,0,25,26,2,20,22,141.66
110,SUCCESS,2,31,16,31,8,50000,50000,8,5,160,0,160,161,1,155,156,951.00
105,SUCCESS,2,1,16,33,8,250000,250000,4,5,57,0,57,62,6,52,58,871.65
107,SUCCESS,2,1,16,33,8,200000,200000,2,5,21,1,22,26,5,18,22,147.66
108,SUCCESS,2,1,16,33,8,150000,150000,4,5,99,0,99,102,3,94,97,888.00
31,SUCCESS,2,28,16,28,4,150000,150000,4,6,26,0,26,29,4,20,24,222.99
113,SUCCESS,2,0,16,32,8,150000,150000,4,6,27,0,27,30,4,21,25,231.99
32,SUCCESS,2,31,16,31,8,250000,250000,8,7,63,4,67,72,6,61,66,1998.31
115,SUCCESS,2,23,16,23,4,50000,50000,1,10,31,0,31,32,1,21,22,31.50
33,SUCCESS,2,29,16,29,4,50000,50000,1,10,31,0,31,32,1,21,22,31.50
