ID,Status,DC ID,Host ID,Host PEs CPU Cores,VM ID,VM PEs CPU Cores,CloudletLen MI,FinishedLen MI,CloudletPEs CPU Cores,ArrivalTime Seconds,SubmssionTime Seconds,StartWaitTime Seconds,StartTime Seconds,FinishTime Seconds,ExecTime Seconds,TotalWaitTime Seconds,CompletionTime Seconds,Cost $
0,SUCCESS,2,0,16,0,2,250000,250000,2,0,1,0,1,6,6,1,7,60.83
82,SUCCESS,2,1,16,1,2,250000,250000,2,0,1,0,1,6,6,1,7,60.83
2,SUCCESS,2,2,16,2,2,50000,50000,1,1,1,0,1,2,1,0,1,15.75
84,SUCCESS,2,7,16,7,2,50000,50000,1,1,5,0,5,6,2,4,6,18.83
4,SUCCESS,2,10,16,10,2,150000,150000,2,1,6,0,6,9,4,5,9,51.50
86,SUCCESS,2,15,16,15,2,150000,150000,2,1,9,0,9,12,4,8,12,65.00
85,SUCCESS,2,27,16,27,4,200000,200000,4,1,31,0,31,35,5,30,35,424.32
83,SUCCESS,2,30,16,30,8,100000,100000,8,1,333,0,333,335,2,332,334,4023.00
1,SUCCESS,2,1,16,33,8,100000,100000,8,1,185,0,185,187,3,184,187,2248.32
3,SUCCESS,2,2,16,34,8,200000,200000,4,1,17,0,17,21,5,16,21,256.32
7,SUCCESS,2,8,16,8,2,150000,150000,1,2,5,0,5,8,4,3,7,28.75
8,SUCCESS,2,13,16,13,2,200000,200000,2,2,8,0,8,12,5,6,11,75.66
89,SUCCESS,2,21,16,21,4,150000,150000,1,2,13,0,13,16,4,11,15,46.75
6,SUCCESS,2,25,16,25,4,50000,50000,4,2,104,0,104,105,1,102,103,324.00
88,SUCCESS,2,26,16,26,4,50000,50000,4,2,104,0,104,105,1,102,103,324.00
90,SUCCESS,2,27,16,27,4,200000,200000,2,2,16,0,16,20,5,14,19,123.66
9,SUCCESS,2,30,16,30,8,250000,250000,8,2,185,0,185,190,6,183,189,5658.30
