ID,Type,Status,PEs CPU Cores,CPU Util %,Cost $
0,S,IDLE,2,3.2,771.34
1,S,IDLE,2,0.8,771.34
2,S,IDLE,2,1.1,771.34
3,S,IDLE,2,0.3,771.34
4,S,IDLE,2,0.8,771.34
5,S,IDLE,2,1.3,771.34
6,S,IDLE,2,0.6,771.34
7,S,IDLE,2,0.3,771.34
8,S,IDLE,2,0.8,771.34
9,S,IDLE,2,0.3,771.34
10,S,IDLE,2,1.4,771.34
11,S,IDLE,2,0.0,771.34
12,S,IDLE,2,3.1,771.34
13,S,IDLE,2,1.8,771.34
14,S,IDLE,2,0.8,771.34
15,S,IDLE,2,1.8,771.34
16,S,IDLE,2,0.0,771.34
17,S,IDLE,2,2.2,771.34
18,S,IDLE,2,0.7,771.34
19,S,IDLE,2,1.7,771.34
20,M,IDLE,4,2.3,1533.68
21,M,IDLE,4,2.9,1533.68
22,M,IDLE,4,0.3,1533.68
23,M,IDLE,4,1.7,1533.68
24,M,IDLE,4,0.4,1533.68
25,M,IDLE,4,2.4,1533.68
26,M,IDLE,4,0.7,1533.68
27,M,IDLE,4,2.2,1533.68
28,M,IDLE,4,4.7,1533.68
29,M,IDLE,4,3.4,1533.68
30,L,IDLE,8,12.8,3058.36
31,L,IDLE,8,13.3,3058.36
32,L,IDLE,8,11.6,3058.36
33,L,IDLE,8,8.7,3058.36
34,L,IDLE,8,17.5,3058.36
